citekey,metric,value,units,measured_against,page
stein2022speachaf,PCA variance explained by PC1 / PC2,**NOT REPORTED** — never given for any target,%,—,"Figs 2F/H, 3F, 4D, 5D"
stein2022speachaf,"Models surviving filtering, per membrane-protein target",**NOT REPORTED** — given only for AK and RBP,models,—,"Figs 4C, 5C"
stein2022speachaf,Total models generated across the study,**NOT REPORTED** — only AK (330) and RBP (420) are stated,models,—,—
stein2022speachaf,Any per-target TM-score value for the membrane proteins,"**NOT REPORTED** in the main text — readable only from the scatter plots; ""best model based on TM score"" panels are in the unheld SI",TM-score,—,"p8, p10"
stein2022speachaf,"Runtime, GPU-hours or compute cost",**NOT REPORTED** — only the qualitative statement that smaller windows increase compute time,—,—,p12
stein2022speachaf,Head-to-head numbers vs the MSA-subsampling comparator,**NOT REPORTED** — the comparator was not re-run; its outcomes are quoted from ref [7] as prose,—,—,"p9, p13"
sun2026kinconfbench,"Kinase conformational classification accuracy, all models",∼65–75,%,8-of-8 KinCoRe label match to deposited reference,p1
sun2026kinconfbench,"Top-1 → Top-20 accuracy gain, Boltz-2",+11.4,percentage points,"same, top-K by pLDDT rank, K = 1 vs 20",p7
sun2026kinconfbench,"Top-1 → Top-20 accuracy gain, Chai-1",+12.6,percentage points,same,p7
sun2026kinconfbench,"Top-1 → Top-20 accuracy gain, Protenix",+12.1,percentage points,same,p7
sun2026kinconfbench,"Top-20 system success rate, Boltz-2 / Protenix / Chai-1","≈82 / ≈81 / ≈76 (read off Figure 2b; exact values are in Supplementary Table S3, **not held**)",% of 950 systems,same,p7
sun2026kinconfbench,Top-1 system success rate,"**NOT REPORTED numerically** in the main text; ≈70.6 / ≈69 / ≈63.4 by subtracting the stated gains from the Figure 2b endpoints — derived, not printed",% of 950 systems,same,p7
sun2026kinconfbench,Sampling-count effect (accuracy vs K),"monotone rise from K = 1, visually plateauing by K ≈ 10–15, all three models",% vs K (1–20),Figure 2b curve,p7
sun2026kinconfbench,Ensemble bimodality,>500 of 950 systems at 20/20 correct and ≈175 at 0/20 (Boltz-2); ≈475 and ≈180 (Protenix); ≈400 and ≈225 (Chai-1) — read off Figure 2c,number of systems per bin,count of top-20 samples matching all 8 labels,p7
sun2026kinconfbench,"Within-ensemble distance dispersion, all models",∼0.1,Å (std. dev. across 20-member ensemble),"509-system diversity subset, all-label-correct poses only",p9
sun2026kinconfbench,"Within-ensemble angle dispersion, all models","< 5 (exception: Chai-1 Asp χ2, median ≈7, upper quartile ≈12 from Figure 4)",° (std. dev.),same,p9
sun2026kinconfbench,"Reference scale for ""normal"" fluctuation (literature, refs 43–44)",RMSF ∼1–2 Å; dihedral ranges 5–30,Å; °,stable protein conformations,p10
sun2026kinconfbench,"Apo-drift, training split: Holo-State fraction","≈40 (Boltz-2, Protenix); ≈30 (Chai-1)",% of systems,"KinCoRe match to deposited holo, 0 matches to apo",p11
sun2026kinconfbench,"Apo-drift, training split: Apo-Drift fraction","≈40, all three models",% of systems,"KinCoRe match to deposited apo, 0 matches to holo",p11
sun2026kinconfbench,"Apo-drift, test split (post-cutoff): Holo-State fraction",≈9 (Boltz-2); ≈25 (Chai-1); ≈22 (Protenix) — read off Figure 5 test panel,% of systems,same,p11
sun2026kinconfbench,Training-data deposition cutoffs,Boltz-2 2023-06-01; Chai-1 2021-01-12; Protenix 2021-09-30,date,first PDB appearance of the holo ligand combination,p10
sun2026kinconfbench,Apo-drift split sizes (train / test systems),Boltz-2 212 / 22; Chai-1 182 / 52; Protenix 194 / 40,systems,holo/apo pairs with differing KinCoRe labels,p11
sun2026kinconfbench,Geometric success thresholds,lDDT-Cα ≥ 0.7; lDDT-PLI ≥ 0.8; ligand RMSD < 2.0,unitless; unitless; Å,"deposited complex, following refs [2, 17]",p6
sun2026kinconfbench,Geometric filter yield,"950 of 1,420 (66.9%)",systems where all three models give ≥1 valid pose in 20,geometric thresholds above,p6
sun2026kinconfbench,Joint-failure set,110,kinases where all three models fail on state,"8-of-8 KinCoRe match; list in Supplementary Table S4, **not held**",p8
sun2026kinconfbench,Diversity subset,509,systems with ≥10 all-correct in top-20 for every model,KinCoRe label match,p9
sun2026kinconfbench,Benchmark size,"2,225 unique chains; 1,420 unique systems; 236 apo chains / 43 apo gene targets; 1,989 holo chains / 1,377 unique protein–ligand pairs","chains, systems",—,"p3, p5"
sun2026kinconfbench,Curation attrition,"7,763 PDB entries → 7,638 chains → 6,703 high-quality → 4,564 WT noncovalent → 2,900 unphosphorylated → 2,225 unique",chains,"curation pipeline, Figure 1a","p3–5, p5"
sun2026kinconfbench,Dataset composition,"1 ligand 1,781; no ligand 236; 2+ ligands 208; Active 1,020; Inactive 1,205",chains,Figure 1b bar labels,p5
sun2026kinconfbench,Valid-label check,"all predictions from all models fall in the 12 PDB-observed label combinations (of 36 theoretical); zero ""forbidden"" geometries",—,"Supplementary Table S2, **not held**",p6
suzuki2026conforflux,"Per-state success, domain motion (n=38)","**76.3 ± 4.8** vs default (X-ray) 65.8 ± 5.3, default (MD) 64.5 ± 5.7 → **+10.5 pp**","% of (target, state) pairs, ±std over 1000 bootstraps","min Cα Kabsch RMSD to either of 2 references ≤ 2.0 Å, best of 500",p5 (Table 1)
suzuki2026conforflux,"Per-state success, transporter (n=35)","**71.4 ± 5.6** vs default (X-ray) 54.3 ± 6.1, default (MD) 48.6 ± 6.2 → **+17.1 pp** (largest category gain); ties BioEmu's 71.4 ± 5.4",%,"same, τ = 2.0 Å",p5 (Table 1)
suzuki2026conforflux,"Per-state success, cryptic pocket (n=33)",**65.2 ± 5.6** vs default (X-ray) 54.5 ± 6.2 → **+10.7 pp**,%,τ = 1.0 Å on BioEmu pocket residues,p5 (Table 1)
suzuki2026conforflux,"Per-state success, fold switching (n=15)","**60.0 ± 8.8** vs default (X-ray) 56.7 ± 9.3 → **+3.3 pp** (= one (target,state) pair); ranks **2nd**, behind Boltz-sample 63.3 ± 8.5",%,τ = 3.0 Å full structure,p5 (Table 1)
suzuki2026conforflux,"Per-category improvement over default, summary","**3.3–17.1 pp** (abstract rounds to ""3–17 percentage points"")",pp,default (X-ray) Boltz-2,"p1, p5"
suzuki2026conforflux,"Fill ratio, four categories (ConforFlux)",0.44 / 0.41 / 0.44 / 0.23 vs default (X-ray) 0.28 / 0.23 / 0.30 / 0.16,fraction of 100 bins on the inter-reference TM segment,FR-eligible n = 38 / 35 / 28 / 13 (T_ref < 0.95),"p5 (Table 1), p19"
suzuki2026conforflux,Per-state success by difficulty — easy (n=49),**90.8 ± 2.9** vs default 86.7 ± 3.5 → **+4.1 pp**; tied with CF-random,%,difficulty binned on default Boltz-2 worst-case-min RMSD over 500 samples (<2 Å),p6 (Table 2)
suzuki2026conforflux,Per-state success by difficulty — medium (n=35),**67.1 ± 5.8** vs default 47.1 ± 5.9 → **+20.0 pp**,%,2–4 Å bin,p6 (Table 2)
suzuki2026conforflux,Per-state success by difficulty — hard (n=37),"**44.6 ± 5.8** vs default 31.1 ± 5.4 → **+13.5 pp**; ""the largest gain among all methods""",%,≥ 4 Å bin,"p5, p6 (Table 2)"
suzuki2026conforflux,**Post-cutoff transporter 2 Å success — ConforFlux**,"**9/12 (75%)**, mean worst-case RMSD **1.80 Å**",targets / n=12; Å,"τ = 2.0 Å, ≥1 reference released after 2023-06-01",p7 (Table 4)
suzuki2026conforflux,**Post-cutoff transporter 2 Å success — default Boltz-2**,"**4/12 (33%)**, mean worst-case RMSD **2.54 Å**",targets / n=12; Å,"same 12 pairs, same MSA and sample count",p7 (Table 4)
suzuki2026conforflux,Post-cutoff — EGF ported to Boltz-2 (our reproduction),"5/12 (42%), 2.11 Å",targets / n=12; Å,"same 12 pairs, same backbone/MSA/sample count",p7 (Table 4)
suzuki2026conforflux,"Post-cutoff — original AF2-backbone EGF (**cited, not run**)","10/12 (83%), 1.81 Å",targets / n=12; Å,Wu & Feng Table 3,p7 (Table 4)
suzuki2026conforflux,Post-cutoff significance,one-sided Wilcoxon **p = 0.0017** vs default; **p = 0.0007** vs EGF-on-Boltz-2; both Bonferroni-significant,"p-value, n=12 paired",worst-case min RMSD per target,p6
suzuki2026conforflux,"Post-cutoff per-target, largest ConforFlux gains",NaS1 7.04 → **1.62** Å; VMAT2 2.58 → **1.50** Å; OCT1 2.70 → **1.58** Å,"Å worst-case min Cα RMSD, best of 500","default Boltz-2, same target","p6, p20 (Table 9)"
suzuki2026conforflux,Post-cutoff per-target failures,NrtBCD fails in all four columns (2.25 / 2.25 / 2.29 / 2.60 Å); ZnT7 3.41 / 3.46 / 3.46 / 1.87 Å (only AF2-EGF succeeds); ConforFlux uniquely succeeds on ABCG25 (1.82 Å),Å,2.0 Å threshold,"p6, p20 (Table 9)"
suzuki2026conforflux,"Clashscore, ConforFlux",**10.84** vs default (X-ray) 10.20 and default (MD) 10.97; all other baselines 11.99–83.42,MolProbity clashes / 1000 atoms,pooled across four categories,"p5, p6 (Table 3)"
suzuki2026conforflux,"Cα bond-length RMSD / Ramachandran, ConforFlux","0.032 Å / 98.78% favoured, 0.05% outliers vs default 0.030 Å / 98.81%, 0.04%",Å; %,default (X-ray),"p6 (Table 3), p17"
suzuki2026conforflux,Fraction of samples with min RMSD_ref > inter-reference RMSD,"ConforFlux **13.2%** (all) / **11.8%** (clashscore ≤ 20) vs default (X-ray) 8.6 / 7.1, default (MD) 19.1 / 17.1, AF-cluster 37.2 / 9.0, ConforMix-RMSD-Boltz-1 42.2 / 3.8",% of samples,inter-reference RMSD per target,"p6 (Table 3), p18 (Table 8)"
suzuki2026conforflux,**DAT inward-state hits**,ConforFlux **35/500**; default **0/500**,"samples, n=1 target","nearest-reference classification at 0.3 Å margin, extended σ ∈ [0,5] Å sweep","p7, p24"
suzuki2026conforflux,"DAT inward mechanism metrics (ConforFlux confident-inward, n=35 vs cryo-EM 8Y2C/E/F mean)",R85–D476 **10.09 vs 10.11 Å**; F76–G425 **11.12 vs 11.21 Å**; F76 displacement **5.58 vs 6.12 Å**; TM1a tilt **38.0 vs ≈25°** (the one disagreement),Å; degrees,experimental inward ensemble,"p7–p8, p24 (Table 11)"
suzuki2026conforflux,DAT default ensemble R85–D476 range,"[10.86, 13.45] Å over all 500 samples — ""reaches neither anchor"" (experimental outward 14.58, inward 10.11 Å)",Å,cryo-EM anchors,p24
suzuki2026conforflux,DAT ConforFlux outward class,"246 classified outward; **114 reach the ≥14.0 Å outward anchor**, 132 lie between",samples of 500,experimental outward R85–D476,p24
suzuki2026conforflux,DAT under the **shipped** σ set,"**0** confidently-inward, 90 boundary Inward/Occluded, outward-class mean R85–D476 13.10 Å",samples of 500,"same references, σ ∈ {0.5,1.0,1.5,2.0,2.5} Å",p25 (L.5)
suzuki2026conforflux,Per-residue RMSF correlation to inter-reference \|ΔCα\|,oligopeptidase B 0.29 → **0.92**; bcMalT EIIC 0.39 → **0.94**,Pearson r,"default Boltz-2, same target",p5
suzuki2026conforflux,"Two illustrative targets, both-reference reach",default within 1.3 Å of one reference but misses the alternate by 3.8–5.0 Å; ConforFlux reaches both within **1.91 Å**,Å,2 references per target,p5
suzuki2026conforflux,"Boltz-2 confidence, default vs ConforFlux",per-category medians differ by ≤ **0.01**; upper 90th percentiles by ≤ **0.005**,0.8·pLDDT + 0.2·pTM,five evaluation categories,p17
suzuki2026conforflux,Ablation: kernel bandwidth σ (10 targets),σ=0.5 → 3.55 ± 2.60 Å; **σ=1.0 → 2.99 ± 2.04** (best); σ=2.0 → 3.11 ± 2.26; σ=4.0 → 4.17 ± 1.90; σ=8.0 → 5.33 ± 2.75,Å worst alt-RMSD ± SD,"held alternate reference, 10 evaluation-set targets",p22 (Table 10)
suzuki2026conforflux,Ablation: particle count M (10 targets),M=3 3.69; M=5 3.11; **M=7 2.81** (best); M=9 3.36; M=11 3.62 — clashscore rises monotonically 9.9 → 16.9,Å; clashscore,same,p22 (Table 10)
suzuki2026conforflux,Ablation: update interval k,k=1 3.89; k=2 3.19; **k=3 3.11**; k=5 3.35; k=10 3.24,Å worst alt-RMSD,same,p22 (Table 10)
suzuki2026conforflux,Ablation: embedding target,s̄ only 2.74 Å / clash 9.9; **z̄ only 2.17 Å** / clash 11.3; **both (the shipped choice) 3.11 Å / clash 12.4** — worse than either alternative on both,Å; clashscore,same,"p21, p22 (Table 10)"
suzuki2026conforflux,Ablation: adaptive scaling factors of Eq. (2),**both on 2.25 ± 1.82 Å** / clash 10.8; noise scaling off 3.37 / 10.2; kernel saturation off 2.41 / 13.4; both off 3.09 / 9.9,Å; clashscore,"same 10 targets, σ-sweep protocol, 25 samples/target","p21, p22 (Table 10)"
suzuki2026conforflux,Computational overhead,diffusion time 25 → 56 s (**2.2×**); peak GPU memory 3.9 → 21.8 GB (**5.6×**); with gradient checkpointing 70 s (2.8×) and 10.8 GB (2.8×); 2 targets >800 residues OOM without checkpointing,s; GB,"default Boltz-2, single H100 PCIe 80 GB, M=5",p20
suzuki2026pairscaling,"Dual-state coverage, OC23, vanilla",43,% of targets (TM ≥ 0.8 to both refs),"23 OC23 targets, 50 models",p3
suzuki2026pairscaling,"Dual-state coverage, OC23, Boltz-sample",78,% of targets,"23 OC23 targets, 500 models",p3
suzuki2026pairscaling,"Dual-state coverage, OC23, MSA clustering",70,% of targets,"23 OC23 targets, 500 models",p3
suzuki2026pairscaling,"Dual-state coverage, TP16, vanilla",25,% of targets,"20 TP16 constructs, 50 models",p3
suzuki2026pairscaling,"Dual-state coverage, TP16, Boltz-sample",70,% of targets,"20 TP16 constructs, 500 models",p3
suzuki2026pairscaling,"Dual-state coverage, TP16, MSA clustering",85,% of targets,"20 TP16 constructs, 500 models",p3
suzuki2026pairscaling,"Dual-state coverage, MS15, vanilla",33,% of targets,"15 MS15 targets, 50 models",p4
suzuki2026pairscaling,"Dual-state coverage, MS15, Boltz-sample",80,% of targets,"15 MS15 targets, 500 models",p4
suzuki2026pairscaling,"Dual-state coverage, MS15, MSA clustering",93,% of targets,"15 MS15 targets, 500 models",p4
suzuki2026pairscaling,"Best-min TM-score, OC23, all methods",~0.9 (medians),TM-score,2 reference structures per target,p3
suzuki2026pairscaling,"Best-min TM-score shift, MS15, Boltz-sample vs vanilla",p < 0.01 (paired Wilcoxon signed-rank),—,15 paired targets,p4
suzuki2026pairscaling,"Method-specific additional sampling time, Boltz-sample and MSA subsampling",< 10⁻²,s per prediction,overhead beyond shared Boltz-2 inference,p3
suzuki2026pairscaling,"Success-curve AUC, MS15, sign-based selection",0.58,AUC of success rate vs TM threshold,15 MS15 targets,p7
suzuki2026pairscaling,"Success-curve AUC, MS15, oracle",0.60,AUC,15 MS15 targets,p7
suzuki2026pairscaling,"Success-curve AUC, MS15, random",0.47,AUC,15 MS15 targets,p7
suzuki2026pairscaling,"Success-curve AUC, OC23 (oracle / random / per-β / sign)",0.75 / 0.62 / 0.68 / 0.68,AUC,23 OC23 targets,"Fig. 6B legend, p8 — read from render, digits low-confidence"
suzuki2026pairscaling,"Success-curve AUC, TP16 (oracle / random / per-β / sign)",0.63 / 0.44 / 0.57 / 0.56,AUC,20 TP16 constructs,"Fig. 6B legend, p8 — read from render, digits low-confidence"
suzuki2026pairscaling,Sequence-only: targets improved by ΔTM ≥ +0.05,18 (31%),targets (% of combined 58),vanilla seq-only vs Boltz-sample seq-only,"p5, Table 1 p7"
suzuki2026pairscaling,Sequence-only: targets worsened by ΔTM ≤ −0.05,1 (1.7%),targets (%),vanilla seq-only vs Boltz-sample seq-only,"p5, Table 1 p7"
suzuki2026pairscaling,"Sequence-only best-min TM gain, MFSD2A (out), TP16",+0.210 (0.581 → 0.791),TM-score,vanilla seq-only,"Table 1, p7"
suzuki2026pairscaling,"Sequence-only best-min TM gain, P40131, OC23",+0.176 (0.284 → 0.460),TM-score,vanilla seq-only,"Table 1, p7"
suzuki2026pairscaling,"Sequence-only best-min TM loss, B3EYN2, OC23",−0.059 (0.718 → 0.659),TM-score,vanilla seq-only,"Table 1, p7"
suzuki2026pairscaling,"Uniform vs Laplacian scaling, best-min TM and fill-ratio",no detectable difference,—,"OC23, TP16, MS15","p6, Fig. 5 p7"
suzuki2026pairscaling,"Dual-state coverage, AF3 Server (OC23 / TP16 / MS15)",17 / 15 / 13,% of targets,"5 models per target, default protocol","Figs. 2–3, p4–p5 — read from render, low-confidence"
suzuki2026pairscaling,Dual-state threshold,0.8,"TM-score, both states",definition,"p3, p11"
suzuki2026pairscaling,MS15 dataset-construction criterion,≤ 0.85,pairwise TM-score between the two reference states,definition,"p4, p9"
swapna2025memorization,"Cα RMSD, ZnT8 inward-open, conventional AF2",2.00,Å,cryoEM 6xpf chain A,"7, 8"
swapna2025memorization,"Cα RMSD, ZnT8 outward-open, ESM-AF2",1.09,Å,cryoEM 6xpf chain B,"7, 8"
swapna2025memorization,"RMSD, 4 additional SLC proteins, ESM-MODELLER","""< 1 - 2""",Å,"""experimental models where available""",11
swapna2025memorization,"Alternative state recovered with shallow MSAs, one-state-in-training bin",1 of 5 (SLC19A1),proteins,expected alternative state,6
swapna2025memorization,"Alternative state recovered with shallow MSAs, no-structure-in-training bin",1 of 3 (SLC19A2),proteins,expected alternative state,6
swapna2025memorization,"AF2 full-MSA bias direction, one-state bin","4 outward-open, 1 inward-open",proteins,state available for training,6
swapna2025memorization,"Alternative-state models, AF-alt on SLC35F2",0 of 480,models,inward-open call,10–11
swapna2025memorization,"Alternative-state models, AF_Sample on SLC35F2","0 of 3,000",models,inward-open call,10–11
swapna2025memorization,"Alternative-state models, AF_Sample2 on SLC35F2","0 of 3,000",models,inward-open call,10–11
swapna2025memorization,AF_Sample on flipped SLC35F2 sequence,"""exclusively inward-open"" (count NOT REPORTED)",models,inward-open call,11
swapna2025memorization,"ESM-AF3 template flip-back, of the 6 where ESM-AF2 flipped","4 of 6 flipped back; 2 of 6 held (SLC19A1, SLC19A2)",proteins,supplied ESM template state,11–12
swapna2025memorization,Additional proteins where both ESM-AF2 and ESM-AF3 honoured the template,2,proteins,supplied template state,12
swapna2025memorization,ESM-MODELLER success on the 4 additional proteins,4 of 4 (both states),proteins,EC map + experimental where available,11
swapna2025memorization,SLC35F2 sequence identity to SLC35 members of known structure,< 12,%,SLC35 subfamily,10
swapna2025memorization,"cryoEM resolution, ZnT8 6xpd / 6xpde / 6xpf",3.9 / 4.1 / 5.1,Å,—,7
swapna2025memorization,"X-ray resolution, SLC35A1 6i1r / Vrg4 5oge",3.22 / 2.80,Å,—,9
swapna2025memorization,Contact definition,< 10.0,"Å, Cα–Cα",CMview,4
swapna2025memorization,NeBcon EC probability threshold,0.7,probability,—,4
swapna2025memorization,ESMfold masking rate,0.15,fraction,—,5
swapna2025memorization,AF-alt runtime per run,< 3,hours,4× A100 HGX,5
swapna2025memorization,"*(cited, not measured here)* AF2+AF3 success on fold-switch alternative states, Porter and co-workers",35,%,">280,000 models",14
swapna2025memorization,"*(cited, not measured here)* Lazou et al. open+closed both recovered",6 of 16,proteins,—,14
swapna2025memorization,"*(cited, not measured here)* Cfold alternative conformations at TM-score > 0.8",> 50,%,nonredundant alternative pairs,14
tang2026steeraf,"Benchmark size, domain motion",16,systems,"Table 1, dataset from ref 20 (BioEmu, Lewis *et al.* 2025)",p5
tang2026steeraf,"Benchmark size, oc23 (open–close)",23,systems,"Table 1, dataset from ref 11 (AFsample2)",p5
tang2026steeraf,"Benchmark size, tp16 (transmembrane)","15 (of 16; SPF1 dropped, OOM)",systems,"Table 1, dataset from ref 11 (AFsample2)",pp4–5
tang2026steeraf,"Benchmark size, fold switch",15,systems,"Table 1, datasets from refs 9 and 21",p5
tang2026steeraf,Benchmark total,69,systems,sum of the four; all named in Fig S1,"p5, p34"
tang2026steeraf,"Inter-state TM-score, domain motion",0.6813 / 0.8370 / 0.5070,TM-score (mean/max/min),reference conformation A vs B,p5
tang2026steeraf,"Inter-state TM-score, oc23",0.5009 / 0.6450 / 0.3790,TM-score (mean/max/min),reference A vs B,p5
tang2026steeraf,"Inter-state TM-score, tp16",0.7892 / 0.9690 / 0.3730,TM-score (mean/max/min),reference A vs B — **max 0.969 means globally-similar pairs are retained**,p5
tang2026steeraf,"Inter-state TM-score, fold switch",0.6672 / 0.9004 / 0.4817,TM-score (mean/max/min),reference A vs B,p5
tang2026steeraf,"Best TM-score, all methods, 4 datasets","~0.84–0.95 band; SteerAF at or near top on domainmotion, oc23, tp16; **below Boltz-sample and AFsample3 on foldswitch**",TM-score,best-of-N prediction vs alternative reference,Fig 1B p4; per-system Fig S1 p34; per-metric Fig S2 p35. **Numeric values NOT REPORTED — plotted only**
tang2026steeraf,"Best RMSD, all methods, 4 datasets","plotted, ~0–7 Å range",Å,best prediction vs alternative reference,Fig S2 p35. **Numeric values NOT REPORTED**
tang2026steeraf,"Near-best run ratio, SteerAF, mean over all systems","**55.1%**, ""reaching close to 100% for some systems""",fraction of runs,runs containing a prediction with TM ≥ 0.97 × TM_best,p7
tang2026steeraf,Near-best run ratio vs competitors,"""SteerAF achieves a higher near-best run ratio while maintaining a comparable best TM-score""",—,"ConforMix, Boltz-sample, AFsample3","p7, Fig 2A p8"
tang2026steeraf,Sampling saturation point,10–20 runs ≈ 70–140 predicted structures,runs / structures,"""most systems reached relatively saturated prediction performance""",p7
tang2026steeraf,"Reference-free selection success, SteerAF",**85% (39/46)**,systems,"both conformations recovered as distinct clusters, ≥50% of a cluster each","pp3, 9"
tang2026steeraf,"Reference-free selection, CF-random comparator",81% (26/32),systems,"its own in-house fold-switch dataset, blind mode (ref 9)",p9
tang2026steeraf,"Reference-free selection, AFsample3 comparator","top-1 77%, top-10 89%",conformations (n = 238),"scored per conformation, not per protein (ref 44)",p9
tang2026steeraf,AAC3_OUT cluster purity,cluster 0 captured >99% of alternative conformations; both clusters >74% pure; cluster 0 contained no default conformations,%,reference-labelled predictions,"p9, Fig 3D p10"
tang2026steeraf,PGK1 functional-residue recovery,"precision 15%–50%, recall >60% across L1 threshold 0.3–0.5",precision / recall,14 curated sites (Table S2) out of 416 residues,"p11, Fig 4B p13"
tang2026steeraf,PGK1 random-selection baseline,**3.4% (14/416)**,precision,chance,p11
tang2026steeraf,Abstract summary of residue recovery,"""approximately 50% precision"", ""recall above 50%"", ""across two tested protein systems""",precision / recall,PGK1 + hβ2AR curated sets,"pp1, 3"
tang2026steeraf,hβ2AR functional-residue recovery,"plotted precision/recall vs L1 threshold; ""far more reliable than random selection""",precision / recall,"curated set, Table S3","p12, Fig 4B p13. **Numeric values NOT REPORTED**"
tang2026steeraf,BGA vs GA,"median best TM-score **+0.009**; >0.05 better on 7 systems, clearly worse on 3",ΔTM-score,SteerAF-GA (dense gradient),"p19, Fig S6 p39"
tang2026steeraf,Gradient regularization (exp / unit / norm),"""no significant difference in overall performance on the full dataset""",—,each other,"p20, Figs S6 p39, S7 p40"
tang2026steeraf,SteerAF prediction budget,"**420** = 60 runs × 7 steps; 𝜌 ∈ {10%, 5%}, lr ∈ {2e-2, 2e-3}; 10 runs at 𝜌=10%, 20 at 𝜌=5%",models per target,Table 2,p6
tang2026steeraf,"Runtime, SteerAF",**1.35 (0.17–5.50)**,A800-equivalent GPU wall-clock hours per target,Table 2,p6
tang2026steeraf,"Runtime, ConforMix",2.73 (0.52–8.88) at 800 models,GPU h per target,Table 2,p6
tang2026steeraf,"Runtime, Boltz-sample",0.42 (0.09–1.28) at 500 models,GPU h per target,Table 2,p6
tang2026steeraf,"Runtime, AFsample3",0.47 (0.11–1.30) at 500 models,GPU h per target,Table 2,p6
tang2026steeraf,"Runtime, AlphaFold3",1.20 (0.43–3.42) at 1000 models,GPU h per target,Table 2,p6
tang2026steeraf,"Runtime, AFsample2",3.65 (0.42–13.98) at 500 models,GPU h per target,Table 2,p6
tang2026steeraf,"Runtime, MSAsubsample",2.15 (0.22–8.27) at 500 models,GPU h per target,Table 2,p6
tang2026steeraf,"Runtime, AlphaFold2",8.58 (1.10–28.70) at 1000 models,GPU h per target,Table 2,p6
tang2026steeraf,Multi-state failure rate (in-house set),"7/18 one conformation, 7/18 two, 2/18 three or more",proteins,"in-house 18-protein multi-conformation dataset (sums to 16, not 18)",p14
tang2026steeraf,"MD conformational-space expansion, MdfA","predictions 123 cells vs MD 437 cells; 356 cells new; "">threefold""",2.0-PC grid cells,prediction ensemble vs 2.5 µs MD,"pp3, 12"
tang2026steeraf,MD aggregate sampling,"50 seeds × 50 ns = **2.5 µs** per system; 25,050 frames",µs,MdfA and AAC3,"pp12, 24, Fig 5 p15, Fig S5 p38"
tang2026steeraf,Targeted-MD convergence,final RMSD **0.6–1.2 Å** to each of 50 assigned targets,Å,assigned seed structures,p12
tang2026steeraf,MdfA basin RMSDs to references,B1/6VS1 1.52; B2/6VS1 1.10; B4/6GV1 1.96,Å,deposited MdfA structures,"Fig 5C, p15"
tang2026steeraf,AAC3 basin RMSDs to references,B1/4C9J 1.29; B2/4C9J 1.23; B4/4C9J 2.12; B5/6GCI 2.06; B6/6GCI 2.38; B7/6GCI 2.79; B8/4C9J 1.16; B3/6GCI 4.20,Å,"4C9J (c-state), 6GCI (m-state)","Fig S5, p38"
tang2026steeraf,Default hyperparameters,"T=6, N=10–20, K=3, thr_mask=4, K_p=3, 𝜆ₚ=0.50, 𝜌=5%, lr=2×10⁻²",—,Table S1,p32
tang2026steeraf,Recommended range for new systems,"𝜌 ≤ 20%, lr ≤ 2e-2",—,derived from the PF0708 failure,p16
tejero2024opsin,"PDB accession, JSR1-jsGiq_1",**9EPP**,—,Protein Data Bank deposition,p12
tejero2024opsin,"PDB accession, JSR1-jsGiq_2",**9EPQ**,—,Protein Data Bank deposition,p12
tejero2024opsin,"PDB accession, JSR1-hGi (without the AHD)",**9EPR**,—,Protein Data Bank deposition,p12
tejero2024opsin,"EMDB accession, JSR1-jsGiq_1 map",**EMD-19882**,—,Electron Microscopy Data Bank,p12
tejero2024opsin,"EMDB accession, JSR1-jsGiq_2 map",**EMD-19883**,—,Electron Microscopy Data Bank,p12
tejero2024opsin,"EMDB accession, JSR1-hGi map",**EMD-19884**,—,Electron Microscopy Data Bank,p12
tejero2024opsin,"Global resolution, JSR1-jsGiq_1",4.1 (refined value 4.06),Å,"FSC = 0.143, non-uniform refinement","p3, p11"
tejero2024opsin,"Global resolution, JSR1-jsGiq_2",4.2 (refined value 4.17),Å,"FSC = 0.143, non-uniform refinement","p3, p11"
tejero2024opsin,"Global resolution, JSR1-hGi","4.9 (described in Results as ""sub-5 Å"")",Å,post-processing with soft mask excluding Gα AH domain,"p2, p11"
tejero2024opsin,Resolution criterion,FSC = 0.143,—,Fourier Shell Correlation,p11
tejero2024opsin,"Particles auto-picked, jsGiq dataset","2,964,739",particles,"Topaz automated picking, full dataset",p11
tejero2024opsin,"Particles in good 2D classes, jsGiq","768,100",particles,2D classification,p11
tejero2024opsin,"Particles in final map, JSR1-jsGiq_1","159,665",particles,non-uniform refinement,p11
tejero2024opsin,"Particles in final map, JSR1-jsGiq_2","134,167",particles,non-uniform refinement,p11
tejero2024opsin,"Particles extracted, hGi dataset",8.4 million (binned ×3),particles,crYOLO general model,p11
tejero2024opsin,"Good-quality particles retained, hGi",1.2 million (**14 %** of initially picked),particles,2D classification in Relion,p11
tejero2024opsin,"Pixel size, jsGiq acquisition",0.51 (binned ×2 to 1.02 during processing),Å/pixel,"K3 detector, Titan Krios 300 kV","p10, p11"
tejero2024opsin,"Pixel size, hGi acquisition",0.85,Å/pixel,"K3 detector, Titan Krios 300 kV",p10
tejero2024opsin,"Total dose, jsGiq",70,e⁻/Å²,"40 frames/micrograph, dose rate 19 e⁻/px/s",p10
tejero2024opsin,"Total dose, hGi",50,e⁻/Å²,"40 frames/micrograph, dose rate 19 e⁻/px/s",p10
tejero2024opsin,Energy filter slit width,20,eV,GIF Quantum LS,p10
